serial_no,race,education,income,gender,age,relationship
0004807,37,05,000980,1,16,04
0004814,37,12,009000,2,21,01
0004814,37,01,,1,03,03
0004828,47,09,024000,1,28,01
0004828,47,11,027000,2,27,02
0004828,47,01,,1,03,03
0004832,47,11,023000,1,37,01
0004832,47,09,031000,2,36,02
0004832,47,02,,1,08,03
0004925,37,10,003100,2,19,23
0004947,47,09,024000,2,35,01
0004947,47,02,,1,11,03
0004947,47,02,,2,10,03
0004947,47,01,,1,03,03
0004951,47,10,030000,2,34,01
0004951,47,09,040000,1,28,21
0004968,37,13,037000,2,49,01
0004968,37,15,079000,1,51,02
0004979,47,10,070000,1,32,01
0004979,47,09,000000,2,34,02
0004979,47,02,,2,07,03
0004979,47,00,,2,01,03
0004988,47,07,000000,2,88,01
0005088,47,09,000000,1,83,01
0005094,47,04,000000,1,57,01
0005094,47,06,000000,2,44,02
0005094,47,09,010000,1,20,05
0005115,47,10,006800,2,26,01
0005115,47,01,,2,04,03
0005115,47,00,,1,02,03
0005147,47,11,000000,1,41,01
0005147,47,12,090000,2,45,02
0005147,47,07,000000,1,16,03
0005148,47,13,085000,1,57,01
0005148,47,14,013000,2,58,02
0005148,47,06,000000,2,71,11
0005156,47,10,000000,2,88,01
0005198,47,15,000000,1,71,01
0005198,47,09,000000,2,66,02
0005206,47,13,030000,2,50,01
0005206,47,13,000000,1,54,19
0005303,47,12,031000,1,48,01
0005303,47,12,000000,2,47,02
0005303,47,07,000000,2,17,03
0005304,37,09,000000,1,48,01
0005304,37,10,022500,2,47,02
0005304,37,05,000000,1,15,03
0005420,47,11,030000,2,35,01
0005420,47,15,098000,1,49,02
0005420,47,03,,2,13,03
0005420,47,03,,1,11,03
0005420,47,02,,1,04,03
0005420,47,00,,1,00,03
0005431,47,14,065000,1,32,01
0005431,47,13,035000,2,31,02
0005431,47,00,,2,01,03
0005431,47,00,,2,01,03
0005675,47,13,000000,1,48,01
0005675,47,14,072000,2,36,02
0005688,37,04,000000,2,72,01
0005688,37,09,000000,2,49,03
0005688,37,04,,2,14,08
0005689,47,10,016000,2,53,01
0005689,47,09,028000,1,51,02
0005756,47,11,000000,1,37,01
0005756,47,09,000000,2,36,02
0005762,47,13,138000,1,38,01
0005762,47,14,000000,2,39,02
0005762,47,02,,2,07,03
0005762,47,00,,2,02,03
0005762,47,00,,1,01,03
